event_id,event_name,event_date,manager_id,city_name
391,Social Media Skills for Volunteers,2024-12-26,572673913,Ramat Yohanan
392,Crisis Management for Volunteers,2024-04-15,823393145,Nir Am
393,Volunteer Engagement and Retention Strategies,2024-04-09,293826156,Ramat HaShofet
394,Creative Problem Solving for Volunteers,2025-03-23,770027665,Zikhron Ya'akov
395,Volunteer Storytelling and Advocacy,2024-04-19,907822052,Revvadim
396,Volunteer Talent Show,2024-10-22,395480602,Brechia
397,Volunteer Empowerment Through Education,2025-01-30,322167562,Kiryat Bialik
398,Volunteer-Driven Innovation Session,2024-06-08,833540190,Mishmar Hashiva
399,Leadership Development for Young Volunteers,2024-08-09,249221152,Avni Chefetz
400,Crisis Management for Volunteers,2024-09-22,234831255,Ali Zahav
